"","region","year","variable","1.5C","CPol","shift","net"
"1","ASIA",2020,"Fossil fuels",1032.97978501183,1497.02130190134,-464.041516889513,302.343774645922
"2","ASIA",2020,"Low carbon sources",2412.65567063428,1646.27037909885,766.385291535435,302.343774645922
"3","CHN",2020,"Fossil fuels",668.285124153623,944.684040057674,-276.398915904051,315.203831299938
"4","CHN",2020,"Low carbon sources",1599.35553410337,1007.75278689939,591.602747203988,315.203831299938
"5","EU",2020,"Fossil fuels",221.425033769213,339.607457261176,-118.182423491963,-2.67741758174012
"6","EU",2020,"Low carbon sources",636.893732169183,521.388726258961,115.505005910222,-2.67741758174012
"7","IND",2020,"Fossil fuels",153.859760668386,245.480539847057,-91.6207791786714,28.2139568238607
"8","IND",2020,"Low carbon sources",420.878117597113,301.043381594581,119.834736002532,28.2139568238607
"9","LAM",2020,"Fossil fuels",353.216517319361,484.866825100504,-131.650307781144,-81.1301924805437
"10","LAM",2020,"Low carbon sources",350.110141468571,299.590026167971,50.5201153005999,-81.1301924805437
"11","MAF",2020,"Fossil fuels",1041.2139173205,1320.42386135772,-279.209944037218,-171.40321710261
"12","MAF",2020,"Low carbon sources",405.18564091534,297.378913980733,107.806726934607,-171.40321710261
"13","OECD+",2020,"Fossil fuels",990.862734264136,1373.20965714315,-382.346922879018,119.380222496839
"14","OECD+",2020,"Low carbon sources",1945.28287665826,1443.55573128241,501.727145375856,119.380222496839
"15","REF",2020,"Fossil fuels",353.813115850545,490.99504955883,-137.181933708285,13.7560375080507
"16","REF",2020,"Low carbon sources",339.5366894677,188.598718251364,150.937971216336,13.7560375080507
"17","USA",2020,"Fossil fuels",528.979533367168,690.171073289986,-161.191539922818,55.8049690810959
"18","USA",2020,"Low carbon sources",725.19576406732,508.199255063407,216.996509003914,55.8049690810959
"19","World",2020,"Fossil fuels",3964.79650288359,5354.73566276967,-1389.93915988608,113.102444237976
"20","World",2020,"Low carbon sources",6756.87221086374,5253.83060673968,1503.04160412406,113.102444237976
