"","region","component","stimulus","gdp","pct.gdp"
"1","ASIA","Economy",105429788144.92,22110217767624,0.476837402747344
"2","ASIA","General",732541516910.591,22110217767624,3.31313569413709
"3","ASIA","Health",24379127617.2948,22110217767624,0.110261815932872
"4","ASIA","Individuals",21352194776.31,22110217767624,0.0965716168005186
"5","CHN","Individuals",0,13608151864637.9,0
"6","CHN","Health",0,13608151864637.9,0
"7","CHN","Economy",0,13608151864637.9,0
"8","CHN","General",3.4e+11,13608151864637.9,2.49850239313924
"9","EU","Individuals",150241521738.664,1.8e+13,0.834675120770356
"10","EU","Health",278726645303.2,1.8e+13,1.54848136279556
"11","EU","Economy",1968005155907.18,1.8e+13,10.9333619772621
"12","EU","General",775004980028.22,1.8e+13,4.305583222379
"13","IND","Individuals",0,2718732231257.57,0
"14","IND","Health",0,2718732231257.57,0
"15","IND","Economy",0,2718732231257.57,0
"16","IND","General",2.72e+11,2718732231257.57,10.0046630879196
"17","LAM","Economy",4945362817.05,5338890352785.98,0.0926290388127071
"18","LAM","General",188189775592.99,5338890352785.98,3.52488556905439
"19","LAM","Health",1293056011.08,5338890352785.98,0.0242195648465649
"20","LAM","Individuals",4328230295.88,5338890352785.98,0.0810698480372688
"21","MAF","Economy",71611204567.969,4661260948422.77,1.53630541950671
"22","MAF","General",89332565566.208,4661260948422.77,1.91648926234081
"23","MAF","Health",19046123217.9539,4661260948422.77,0.408604526300947
"24","MAF","Individuals",8354839615.307,4661260948422.77,0.179239903274113
"25","OECD+","Economy",4175717453472.18,49690159173239.1,8.4035099161466
"26","OECD+","General",1753662205457.23,49690159173239.1,3.52919417976361
"27","OECD+","Health",501574878408.21,49690159173239.1,1.00940485350334
"28","OECD+","Individuals",1079848264173.96,49690159173239.1,2.17316322213659
"29","REF","Economy",5095847590.6,2222682311735.7,0.229265674347345
"30","REF","General",47310014362.6,2222682311735.7,2.12850995901684
"31","REF","Health",969338363.1,2222682311735.7,0.0436111970650021
"32","REF","Individuals",122283428.6,2222682311735.7,0.00550161523103625
"33","USA","Individuals",7.16e+11,20544343456936.5,3.48514422717292
"34","USA","Health",2e+11,20544343456936.5,0.973503974070648
"35","USA","Economy",1.24e+12,20544343456936.5,6.03572463923802
"36","USA","General",6.37e+11,20544343456936.5,3.10061015741501
"37","World","Economy",4362799656592.72,84023210553807.5,5.19237437826638
"38","World","General",2811036077889.62,84023210553807.5,3.34554709271608
"39","World","Health",547262523617.639,84023210553807.5,0.651323033255409
"40","World","Individuals",1114005812290.06,84023210553807.5,1.325831047097
