country.code,country,gdp,health,non.health,loans.guarantees,deferrals,international.aid,total
AFG,Afghanistan,19101353833,83090889,553939261,,,305621661,637030150
AGO,Angola,94635415870,120000000,,,,,120000000
ALB,Albania,15278077447,23750000,148532500,247000000,,,419282500
ARE,United Arab Emirates,421142267938,,,,,,7200000000
ARG,Argentina,449663446954,,,,,,26979806817
ARM,Armenia,13672802158,,,,,,137900000
AUS,Australia,1392680589329,6963402947,26460931197,,,,165728990130
AUT,Austria,446314739528,4360000000,13319800000,9810000000,12208000000,,58020916139
AZE,Azerbaijan,48047647059,67266706,1969953529,,,,2037220235
BDI,Burundi,3012334882,,,,,,12000000000
BEL,Belgium,529606710418,,18006628154,63552805250,,,81559433404
BEN,Benin,14390709095,108000000,162000000,,,,270000000
BGD,Bangladesh,302571254131,102000000,1666800000,6240000000,,,8008800000
BGR,Bulgaria,67927179737,,,,,,4807600000
BHR,Bahrain,38574069149,,,,,,1620110904
BHS,Bahamas,12827000000,15000000,15900000,25000000,60000000,,121700000000
BIH,Bosnia & Herzegovina,20047848435,,,,,,729741683
BLZ,Belize,1879613600,,,,,,18796136
BOL,Bolivia,40895322865,200000000,729000000,3302500000,,,4231500000
BRA,Brazil,1839758040766,,,,,,211572174688
BRB,Barbados,5209000000,,,,,,52090000
BTN,Bhutan,NA,28000000,56000000,,,,84000000
BWA,Botswana,18340510789,,,,,,201745619
CAF,Central African Republic,2220307369,42185840,27000000,,,,69185840
CAN,Canada,1736425629520,15627830666,173642562952,,69457025181,,260463844428
CHE,Switzerland,703082435360,,12862000000,46303200000,,,141373000000
CHL,Chile,282318159745,,,,,,28850000000
CHN,China,14342902842916,,,,,,690000000000
CIV,Côte d’Ivoire,58792205642,176376617,1352220730,,,,1528597347
CMR,Cameroon,38760467033,101000000,724000000,,200000000,,1025000000
COD,Congo - Kinshasa,47319624204,,,,,,141958873
COG,Congo - Brazzaville,10820591131,1400000,,,,13400000,183400000
COL,Colombia,323802808108,1900000000,1900000000,1000000000,100000000,,4900000000
CPV,Cape Verde,1981845741,,2480840000,27400000,,,2508240000
CRI,Costa Rica,61773944174,,,,,,297847817
CYP,Cyprus,24564647935,109000000,,,,,979910000
CZE,Czechia,246489245495,,,22800255208,,,54100255208
DEU,Germany,3845630030824,25000000000,441304347826,891304347826,,,1357608695652
DJI,Djibouti,3318716359,,,,,,79649193
DNK,Denmark,348078018464,,20790623176,17751978942,,,38542602118
DOM,Dominican Republic,88941298258,1333064220,48475063,3720783986,,650000000,8708014677
DZA,Algeria,169988236398,225896600,244527247,,,,613258811
ECU,Ecuador,107435665000,,,50000000,,,50000000
EGY,Egypt,303175127598,507614213,,126903553,,,6130000000
ESP,Spain,1394116310769,9456521739,25902173913,54347826,5452173913,,40865217391
EST,Estonia,31386949981,231521739,307608696,4369565217,,,4908695652
ETH,Ethiopia,96107662398,584000000,1210000000,,,88000000,1882000000
EU,European Union,18292000000000,302802000000,536062000000,529740000000,,,1368604000000
FIN,Finland,268761201365,1092391304,8952173913,1826086957,5706521739,,17577173913
FJI,Fiji,5535548972,479068895,76651023,,191627558,,747347477
FRA,France,2715518274227,73369565217,73369565217,355434782609,,,502173913043
GAB,Gabon,16657960228,118100000,569100000,,,,687200000
GBR,United Kingdom,2827113184696,64707083574,49564291851,17611000065,,,131882375490
GEO,Georgia,17743195770,206581335,1062700165,157846293,1183847,,1428311640
GHA,Ghana,66983634224,2441780610,348809676,2180161259,261619351,,5232370896
GMB,Gambia,1763819048,19383926,27139247,,,27260870,73784042
GNB,Guinea-Bissau,1340389411,5400000,1000000,,,,6400000
GNQ,Equatorial Guinea,11026774945,110267749,77187425,,33080325,,220535499
GRC,Greece,209852761469,,,,,,26086956522
GTM,Guatemala,76710385880,153420772,1610918103,,153420772,1200000000,2454732348
HKG,Hong Kong SAR China,366029556273,3827262869,22708426357,,10142246603,,36677935830
HND,Honduras,25095395475,250953955,301144746,2500000000,125476977,,3177575678
HTI,Haiti,8498981821,195476582,127484727,,,,322961309
HUN,Hungary,160967157504,906696602,2221036594,5515305901,,,8643039098
IDN,Indonesia,1119190780753,,,,,,49244394353
IND,India,2875142314812,2875142315,48877419352,140881973426,8625426944,,201259962037
IRL,Ireland,388698711348,2173913043,27173913043,2173913043,3152173913,,34673913043
IRN,Iran,463000000000,9260000000,1389000000,20372000000,27780000000,,58801000000
IRQ,Iraq,234094042939,43000000,316000000,,,,359000000
ISL,Iceland,24188035739,,,,,,2030000000
ISR,Israel,395098666122,3063590565,23595217513,19774084554,,,46432892632
ITA,Italy,2001244392042,3586956522,28804347826,,44565217391,,76956521739
JAM,Jamaica,16458071068,82290355,576032487,,98748426,,757071269
JOR,Jordan,43743661972,71000000,137000000,,,,208000000
JPN,Japan,5081769542380,25408847712,1046944525730,,,,2144606746884
KAZ,Kazakhstan,180161741180,,5221843747,4641638886,,,9863482632
KEN,Kenya,95503088538,394860597,558727745,,,,953588342
KGZ,Kyrgyzstan,8454619608,16000000,,540000000,15000000,292000000,863000000
KHM,Cambodia,27089389787,60000000,1364000000,600000000,200000000,,2224000000
KOR,South Korea,1642383217167,4270786006,190277146751,,,,194547932758
KWT,Kuwait,134761198946,1600000000,,,,,1600000000
LAO,Laos,18173839128,6358638,12133006,,,,18491644
LBN,Lebanon,53367042272,,796019900,,293000000,,1089019900
LBY,Libya,52076250948,,,,,,620527974
LKA,Sri Lanka,84008783756,89008784,210021959,,,,299030743
