group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,AFG,Afghanistan,ASIA,72.08324718,8000000000,110982791.6,19362969582,0.005,"96,814,847.91",,"19,362,969.58",,,,77451878.33
,AGO,Angola,MAF,252.8557477,,,1.06E+11,,"40,000,000.00",,"40,000,000.00",,,,0
,ALB,Albania,OECD90+EU,107.9891667,45000000000,416708466.1,15102500898,0.028,"422,870,025.08",-,"32,410,658.48","125,012,539.80",-,"240,764,891.50",24681935.3
,ARE,United Arab Emirates,MAF,3.6725,26500000000,7215793057,4.14E+11,,"7,215,793,056.50",-,-,-,-,-,7215793057
G20,ARG,Argentina,LAM,28.09499167,,0,5.20E+11,0.049,"20,300,000,000.00","11,000,000,000.00","1,000,000,000.00",-,-,"8,300,000,000.00",
,ARM,Armenia,REF,482.9879466,,0,12433089919,,"137,900,000.00",,,,,,137900000
G20,AUS,Australia,OECD90+EU,1.338412146,2.29E+11,1.71E+11,1.43E+12,,"133,000,000,000.00","107,000,000,000.00","3,000,000,000.00",-,-,"23,000,000,000.00",
,AUT,Austria,OECD90+EU,0.92,45000000000,48913043478,4.55E+11,0.09,"48,913,043,478.26",,"4,347,826,087.00",,"10,869,565,217.00","9,782,608.70",33685869565
,AZE,Azerbaijan,REF,1.700016667,,0,46939529412,,"1,946,039,744.71",,"4,882,305.08","1,941,157,440.00",,,0
,BDI,Burundi,MAF,1782.876875,,0,3036931818,0.026,"78,960,227.27","26,300,000.00",,,,,52660227.27
,BEL,Belgium,OECD90+EU,0.92,66300000000,72065217391,5.43E+11,0.135,"74,065,217,390.00","4,673,913,043.00","2,000,000,000.00",-,-,"56,521,739,130.00",10869565217
,BEN,Benin,MAF,555.4464584,1.50E+11,270053031.6,10354274635,0.001,"270,053,031.63","90,017,677.21","108,021,212.70","72,014,141.77",,,0
,BFA,Burkina Faso,MAF,555.7178304,,0,14124775069,,0,,,,,,0
,BGD,Bangladesh,ASIA,83.46620192,,0,2.74E+11,,"7,277,197,069.20","448,085,562.10",-,"599,044,869.10",-,"6,230,066,638.00",0
,BGR,Bulgaria,OECD90+EU,1.657041667,,0,65132951116,0.021,"4,100,000,000.00","900,000,000.00","300,000,000.00",-,"300,000,000.00","2,600,000,000.00",0
,BHR,Bahrain,MAF,0.376,560000000,1489361702,37746196809,0.042,"1,585,340,265.96","14,627,659.57","470,744,680.90",,,,1099967926
,BHS,Bahamas,LAM,1,65700000,65700000,12424500000,0.006,"74,547,000.00","11,800,000.00","4,000,000.00",,"30,000,000.00","20,000,000.00",8747000
,BIH,Bosnia and Herzegovina,OECD90+EU,1.656985441,1000000000,1656985441,20161865419,,"1,656,985,441.14",,"30,175,280.22",,,"301,752,802.20","1,325,057,358.76"
,BLR,Belarus,REF,2.037608333,,0,59662495092,,0,,,,,,0
,BLZ,Belize,LAM,2,25000000,12500000,1871203164,0.01,"18,712,031.64",,,,,,18712031.64
,BOL,Bolivia,LAM,6.91,,0,40287647757,,"506,000,000.00","87,000,000.00","200,000,000.00","219,000,000.00",,,0
G20,BRA,Brazil,LAM,3.653825361,,0,1.87E+12,0.11,"195,000,000,000.00","74,000,000,000.00","12,000,000,000.00",-,"38,000,000,000.00","71,000,000,000.00",
,BRB,Barbados,LAM,2,,0,5145000000,,0,,,,,,0
,BRN,Brunei Darussalam,ASIA,1.348918565,,0,13567351175,,0,,,,,,0
,BTN,Bhutan,ASIA,NA,,#VALUE!,2446674101,,"43,395,924.00",,"43,395,924.00",,,,0
,BWA,Botswana,MAF,10.199975,2000000000,196078912,18616018903,0.011,"204,776,207.94",,"46,568,741.59",,,"98,039,455.98",60168010.37
,CAF,Central African Republic,MAF,555.7178304,27000000000,48585808.34,2219894702,0.019,"42,177,999.34",,,,,,42177999.34
G20,CAN,Canada,OECD90+EU,1.295817928,,0,1.71E+12,0.098,"198,000,000,000.00","84,000,000,000.00","3,000,000,000.00",-,"61,000,000,000.00","50,000,000,000.00",
,CHE,Switzerland,OECD90+EU,0.977883333,73000000000,74651031991,7.05E+11,,"74,000,000,000.00","29,000,000,000.00","3,000,000,000.00",0.00,0.00,"42,000,000,000.00",0
,CHL,Chile,LAM,641.2768131,,16750000000,2.98E+11,,"27,600,000,000.00","16,500,000,000.00","1,700,000,000.00",-,"3,800,000,000.00","5,600,000,000.00",0
G20,CHN,China,ASIA,6.615957177,4.20E+12,6.35E+11,1.36E+13,0.041,"705,000,000,000.00","603,000,000,000.00","22,000,000,000.00",-,,"80,000,000,000.00",
,CIV,Cote d'Ivoire,MAF,555.7178304,,0,43007047822,,"1,032,169,147.72",,"129,021,143.50","774,126,860.80",,,129021143.5
,CMR,Cameroon,MAF,555.7178304,,0,38675205293,,"150,076,163.54",,"105,089,304.00",,"44,986,859.57",,0
,COD,Democratic Republic of the Congo,MAF,1622.523502,,1.35E+11,47227535291,0.003,"141,682,605.87",,,,,,141682605.9
,COG,Congo,MAF,555.7178304,,170000000,11263682694,0.016,"180,218,923.10",,,,,,180218923.1
,COL,Colombia,LAM,2955.70397,,0,3.31E+11,0.028,"4,900,000,000.00","1,900,000,000.00","1,900,000,000.00",-,"100,000,000.00","1,000,000,000.00",0
,COM,Comoros,MAF,416.5848438,,0,1177955049,,0,,,,,,0
,CPV,Cape Verde,MAF,93.41357891,,0,1976814277,,"55,666,425.17","23,551,179.88",,,,"32,115,245.29",0
,CRI,Costa Rica,LAM,576.9725012,,0,60130106116,,"297,847,817.06","292,474,944.00","5,372,873.05",,,,0
,CUB,Cuba,LAM,NA,,#VALUE!,1.00E+11,,0,,,,,,0
,CYP,Cyprus,OECD90+EU,0.92,1326000000,1219920000,24961988663,,"1,219,920,000.00",,"108,695,652.20",,,"1,630,434.78","1,109,593,913.04"
,CZE,Czech Republic,OECD90+EU,0.92,42700000000,46413043478,2.45E+11,0.047,"31,300,000,000.00","9,000,000,000.00","2,000,000,000.00",-,-,"20,300,000,000.00",0
G20,DEU,Germany,OECD90+EU,0.92,1.03E+12,1.12E+12,3.95E+12,,"1,447,000,000,000.00","307,000,000,000.00","25,000,000,000.00",-,-,"1,115,000,000,000.00",
,DJI,Djibouti,MAF,NA,,#VALUE!,2955912228,0.024,0,,,,,,0
,DNK,Denmark,OECD90+EU,6.314618787,,0,3.56E+11,0.107,"73,000,000,000.00","18,000,000,000.00",-,-,"24,000,000,000.00","31,000,000,000.00",0
,DOM,Dominican Republic,LAM,49.50999286,,0,85555390387,,"576,000,000.00",,,,,,576000000
,DZA,Algeria,MAF,116.5937917,0,0,1.74E+11,0,"519,753,231.57","98,633,038.99","249,584,472.60",,,"171,535,720.00",0
,ECU,Ecuador,LAM,1,,0,1.08E+11,,"164,000,000.00","114,000,000.00",,"50,000,000.00",,,0
,EGY,Egypt,MAF,17.76729042,100000000,5628320.224,2.51E+11,,"6,400,000,000.00","5,700,000,000.00","500,000,000.00",0.00,-,"200,000,000.00",0
,ERI,Eritrea,MAF,15.075,,0,NA,,0,,,,,,0
,ESP,Spain,OECD90+EU,0.92,,0,1.42E+12,,"45,322,391,304.35","20,052,826,087.00","4,615,217,391.00","4,241,304,348.00","16,413,043,478.00",,
,EST,Estonia,OECD90+EU,0.92,2346000000,2550000000,30732144529,,"2,550,000,000.00","271,739,130.40","231,521,739.10","217,391,304.30",,"1,684,782,609.00",144565217.4
,ETH,Ethiopia,MAF,27.42938659,,1640000000,84355604753,,"2,200,000,000.00","1,100,000,000.00","500,000,000.00",-,-,"600,000,000.00",0
G20,EU,European Union,EU,0.92,5.77E+11,6.27E+11,1.88E+13,,"1,365,000,000,000.00","499,000,000,000.00",-,-,-,"866,000,000,000.00",
,FIN,Finland,OECD90+EU,0.92,,0,2.77E+11,,"32,000,000,000.00","6,000,000,000.00","2,000,000,000.00",0.00,"6,000,000,000.00","18,000,000,000.00",0
,FJI,Fiji,OECD90+EU,2.087382441,1000000000,479068895.3,5536759659,,"479,068,895.32",,,,,,479068895.3
G20,FRA,France,OECD90+EU,0.92,4.25E+11,4.62E+11,2.78E+12,,"504,000,000,000.00","54,000,000,000.00","9,000,000,000.00",-,"61,000,000,000.00","380,000,000,000.00",
,GAB,Gabon,MAF,555.7178304,,0,16853589311,,"678,000,000.00",,,,,,678000000
G20,GBR,United Kingdom,OECD90+EU,0.74953154,,0,2.86E+12,,"577,000,000,000.00","146,000,000,000.00","8,000,000,000.00",,-,"423,000,000,000.00",
