group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,AFG,Afghanistan,ASIA,72.08324718,8000000000,110982791.6,19362969582,0.005,9.68E+07,,1.94E+07,,,,7.75E+07
,AGO,Angola,MAF,252.8557477,,,1.06E+11,,4.00E+07,,4.00E+07,,,,0.00E+00
,ALB,Albania,OECD90+EU,107.9891667,45000000000,416708466.1,15102500898,0.028,4.23E+08,-,3.24E+07,1.25E+08,-,2.41E+08,2.47E+07
,ARE,United Arab Emirates,MAF,3.6725,26500000000,7215793057,4.14E+11,,7.22E+09,-,-,-,-,-,7.22E+09
G20,ARG,Argentina,LAM,28.09499167,,0,5.20E+11,0.049,2.03E+10,1.10E+10,1.00E+09,-,-,8.30E+09,
,ARM,Armenia,REF,482.9879466,,0,12433089919,,1.38E+08,,,,,,1.38E+08
G20,AUS,Australia,OECD90+EU,1.338412146,2.29E+11,1.71E+11,1.43E+12,,1.33E+11,1.07E+11,3.00E+09,-,-,2.30E+10,
,AUT,Austria,OECD90+EU,0.92,45000000000,48913043478,4.55E+11,0.09,4.89E+10,,4.35E+09,,1.09E+10,9.78E+06,3.37E+10
,AZE,Azerbaijan,REF,1.700016667,,0,46939529412,,1.95E+09,,4.88E+06,1.94E+09,,,0.00E+00
,BDI,Burundi,MAF,1782.876875,,0,3036931818,0.026,7.90E+07,2.63E+07,,,,,5.27E+07
,BEL,Belgium,OECD90+EU,0.92,66300000000,72065217391,5.43E+11,0.135,7.41E+10,4.67E+09,2.00E+09,-,-,5.65E+10,1.09E+10
,BEN,Benin,MAF,555.4464584,1.50E+11,270053031.6,10354274635,0.001,2.70E+08,9.00E+07,1.08E+08,7.20E+07,,,0.00E+00
,BFA,Burkina Faso,MAF,555.7178304,,0,14124775069,,0.00E+00,,,,,,0.00E+00
,BGD,Bangladesh,ASIA,83.46620192,,0,2.74E+11,,7.28E+09,4.48E+08,-,5.99E+08,-,6.23E+09,0.00E+00
,BGR,Bulgaria,OECD90+EU,1.657041667,,0,65132951116,0.021,4.10E+09,9.00E+08,3.00E+08,-,3.00E+08,2.60E+09,0.00E+00
,BHR,Bahrain,MAF,0.376,560000000,1489361702,37746196809,0.042,1.59E+09,1.46E+07,4.71E+08,,,,1.10E+09
,BHS,Bahamas,LAM,1,65700000,65700000,12424500000,0.006,7.45E+07,1.18E+07,4.00E+06,,3.00E+07,2.00E+07,8.75E+06
,BIH,Bosnia and Herzegovina,OECD90+EU,1.656985441,1000000000,1656985441,20161865419,,1.66E+09,,3.02E+07,,,3.02E+08,1.33E+09
,BLR,Belarus,REF,2.037608333,,0,59662495092,,0.00E+00,,,,,,0.00E+00
,BLZ,Belize,LAM,2,25000000,12500000,1871203164,0.01,1.87E+07,,,,,,1.87E+07
,BOL,Bolivia,LAM,6.91,,0,40287647757,,5.06E+08,8.70E+07,2.00E+08,2.19E+08,,,0.00E+00
G20,BRA,Brazil,LAM,3.653825361,,0,1.87E+12,0.11,1.95E+11,7.40E+10,1.20E+10,-,3.80E+10,7.10E+10,
,BRB,Barbados,LAM,2,,0,5145000000,,0.00E+00,,,,,,0.00E+00
,BRN,Brunei Darussalam,ASIA,1.348918565,,0,13567351175,,0.00E+00,,,,,,0.00E+00
,BTN,Bhutan,ASIA,NA,,#VALUE!,2446674101,,4.34E+07,,4.34E+07,,,,0.00E+00
,BWA,Botswana,MAF,10.199975,2000000000,196078912,18616018903,0.011,2.05E+08,,4.66E+07,,,9.80E+07,6.02E+07
,CAF,Central African Republic,MAF,555.7178304,27000000000,48585808.34,2219894702,0.019,4.22E+07,,,,,,4.22E+07
G20,CAN,Canada,OECD90+EU,1.295817928,,0,1.71E+12,0.098,1.98E+11,8.40E+10,3.00E+09,-,6.10E+10,5.00E+10,
,CHE,Switzerland,OECD90+EU,0.977883333,73000000000,74651031991,7.05E+11,,7.40E+10,2.90E+10,3.00E+09,0.00E+00,0.00E+00,4.20E+10,0.00E+00
,CHL,Chile,LAM,641.2768131,,16750000000,2.98E+11,,2.76E+10,1.65E+10,1.70E+09,-,3.80E+09,5.60E+09,0.00E+00
G20,CHN,China,ASIA,6.615957177,4.20E+12,6.35E+11,1.36E+13,0.041,7.05E+11,6.03E+11,2.20E+10,-,,8.00E+10,
,CIV,Cote d'Ivoire,MAF,555.7178304,,0,43007047822,,1.03E+09,,1.29E+08,7.74E+08,,,1.29E+08
,CMR,Cameroon,MAF,555.7178304,,0,38675205293,,1.50E+08,,1.05E+08,,4.50E+07,,0.00E+00
,COD,Democratic Republic of the Congo,MAF,1622.523502,,1.35E+11,47227535291,0.003,1.42E+08,,,,,,1.42E+08
,COG,Congo,MAF,555.7178304,,170000000,11263682694,0.016,1.80E+08,,,,,,1.80E+08
,COL,Colombia,LAM,2955.70397,,0,3.31E+11,0.028,4.90E+09,1.90E+09,1.90E+09,-,1.00E+08,1.00E+09,0.00E+00
,COM,Comoros,MAF,416.5848438,,0,1177955049,,0.00E+00,,,,,,0.00E+00
,CPV,Cape Verde,MAF,93.41357891,,0,1976814277,,5.57E+07,2.36E+07,,,,3.21E+07,0.00E+00
,CRI,Costa Rica,LAM,576.9725012,,0,60130106116,,2.98E+08,2.92E+08,5.37E+06,,,,0.00E+00
,CUB,Cuba,LAM,NA,,#VALUE!,1.00E+11,,0.00E+00,,,,,,0.00E+00
,CYP,Cyprus,OECD90+EU,0.92,1326000000,1219920000,24961988663,,1.22E+09,,1.09E+08,,,1.63E+06,1.11E+09
,CZE,Czech Republic,OECD90+EU,0.92,42700000000,46413043478,2.45E+11,0.047,3.13E+10,9.00E+09,2.00E+09,-,-,2.03E+10,0.00E+00
G20,DEU,Germany,OECD90+EU,0.92,1.03E+12,1.12E+12,3.95E+12,,1.45E+12,3.07E+11,2.50E+10,-,-,1.12E+12,
,DJI,Djibouti,MAF,NA,,#VALUE!,2955912228,0.024,0.00E+00,,,,,,0.00E+00
,DNK,Denmark,OECD90+EU,6.314618787,,0,3.56E+11,0.107,7.30E+10,1.80E+10,-,-,2.40E+10,3.10E+10,0.00E+00
,DOM,Dominican Republic,LAM,49.50999286,,0,85555390387,,5.76E+08,,,,,,5.76E+08
,DZA,Algeria,MAF,116.5937917,0,0,1.74E+11,0,5.20E+08,9.86E+07,2.50E+08,,,1.72E+08,0.00E+00
,ECU,Ecuador,LAM,1,,0,1.08E+11,,1.64E+08,1.14E+08,,5.00E+07,,,0.00E+00
,EGY,Egypt,MAF,17.76729042,100000000,5628320.224,2.51E+11,,6.40E+09,5.70E+09,5.00E+08,0.00E+00,-,2.00E+08,0.00E+00
,ERI,Eritrea,MAF,15.075,,0,NA,,0.00E+00,,,,,,0.00E+00
,ESP,Spain,OECD90+EU,0.92,,0,1.42E+12,,4.53E+10,2.01E+10,4.62E+09,4.24E+09,1.64E+10,,
,EST,Estonia,OECD90+EU,0.92,2346000000,2550000000,30732144529,,2.55E+09,2.72E+08,2.32E+08,2.17E+08,,1.68E+09,1.45E+08
,ETH,Ethiopia,MAF,27.42938659,,1640000000,84355604753,,2.20E+09,1.10E+09,5.00E+08,-,-,6.00E+08,0.00E+00
G20,EU,European Union,EU,0.92,5.77E+11,6.27E+11,1.88E+13,,1.37E+12,4.99E+11,-,-,-,8.66E+11,
,FIN,Finland,OECD90+EU,0.92,,0,2.77E+11,,3.20E+10,6.00E+09,2.00E+09,0.00E+00,6.00E+09,1.80E+10,0.00E+00
,FJI,Fiji,OECD90+EU,2.087382441,1000000000,479068895.3,5536759659,,4.79E+08,,,,,,4.79E+08
G20,FRA,France,OECD90+EU,0.92,4.25E+11,4.62E+11,2.78E+12,,5.04E+11,5.40E+10,9.00E+09,-,6.10E+10,3.80E+11,
,GAB,Gabon,MAF,555.7178304,,0,16853589311,,6.78E+08,,,,,,6.78E+08
G20,GBR,United Kingdom,OECD90+EU,0.74953154,,0,2.86E+12,,5.77E+11,1.46E+11,8.00E+09,,-,4.23E+11,
,GEO,Georgia,REF,2.534110833,,0,17599660629,,1.54E+09,3.08E+08,2.07E+08,1.97E+08,3.53E+08,4.03E+08,7.06E+07
,GHA,Ghana,MAF,4.586816667,,0,65556464048,,5.00E+08,2.00E+08,1.00E+08,-,-,2.00E+08,0.00E+00
,GMB,Gambia,MAF,48.15134559,,0,1632823199,,3.35E+07,,,,,,3.35E+07
