"","country.code","gdp"
"1","EU",1.55e+13
"2","ABW",NA
"3","AFG",19101353832.7371
"4","AGO",94635415869.9851
"5","ALB",15278077446.8643
"6","AND",3154057987.23833
"7","ARB",2815410447182.25
"8","ARE",421142267937.65
"9","ARG",449663446954.073
"10","ARM",13672802157.8324
"11","ASM",NA
"12","ATG",1727759259.25926
"13","AUS",1392680589329.14
"14","AUT",446314739528.47
"15","AZE",48047647058.8235
"16","BDI",3012334881.64057
"17","BEL",529606710418.038
"18","BEN",14390709094.9386
"19","BFA",15745810234.6602
"20","BGD",302571254131.135
"21","BGR",67927179736.6915
"22","BHR",38574069148.9362
"23","BHS",1.2827e+10
"24","BIH",20047848434.5487
"25","BLR",63080457022.6599
"26","BLZ",1879613600
"27","BMU",NA
"28","BOL",40895322865.4124
"29","BRA",1839758040765.62
"30","BRB",5.209e+09
"31","BRN",13469422941.3919
"32","BTN",NA
"33","BWA",18340510789.4272
"34","CAF",2220307368.69593
"35","CAN",1736425629519.96
"36","CEB",1656928913107.65
"37","CHE",703082435360.117
"38","CHI",NA
"39","CHL",282318159744.65
"40","CHN",14342902842915.9
"41","CIV",58792205642.1538
"42","CMR",38760467033.389
"43","COD",47319624204.0938
"44","COG",10820591130.7349
"45","COL",323802808108.246
"46","COM",1185728676.65112
"47","CPV",1981845740.70615
"48","CRI",61773944173.6736
"49","CSS",76290373254.4853
"50","CUB",NA
"51","CUW",NA
"52","CYM",NA
"53","CYP",24564647934.6244
"54","CZE",246489245494.882
"55","DEU",3845630030823.52
"56","DJI",3318716359.44182
"57","DMA",596033333.333333
"58","DNK",348078018463.905
"59","DOM",88941298257.7215
"60","DZA",169988236398.126
"61","EAP",17214358920071.6
"62","EAR",11981574482646.9
"63","EAS",26979805534122.7
"64","ECA",3239459350297.98
"65","ECS",22748788538189.8
"66","ECU",107435665000
"67","EGY",303175127597.521
"68","EMU",13335843259019.7
"69","ERI",NA
"70","ESP",1394116310768.63
"71","EST",31386949981.236
"72","ETH",96107662398.1749
"73","EUU",15592795166700.2
"74","FCS",NA
"75","FIN",268761201364.705
"76","FJI",5535548972.41252
"77","FRA",2715518274227.45
"78","FRO",NA
"79","FSM",NA
"80","GAB",16657960228.0892
"81","GBR",2827113184695.58
"82","GEO",17743195770.1998
"83","GHA",66983634223.943
"84","GIB",NA
"85","GIN",13590281808.6928
"86","GMB",1763819047.69838
"87","GNB",1340389410.76003
"88","GNQ",11026774945.3415
"89","GRC",209852761468.681
"90","GRD",1228170370.37037
"91","GRL",NA
"92","GTM",76710385879.6627
"93","GUM",NA
"94","GUY",4280443645.08393
"95","HIC",55098717125559.6
"96","HKG",366029556273.051
"97","HND",25095395475.0393
"98","HPC",759266600603.65
"99","HRV",60415553038.8826
"100","HTI",8498981820.87012
"101","HUN",160967157503.612
"102","IBD",31618204428931.7
"103","IBT",33912132433932.9
"104","IDA",2301372398524.79
"105","IDB",989721112790.581
"106","IDN",1119190780752.8
"107","IDX",1315248865134.09
"108","IMN",NA
"109","IND",2875142314811.85
"110","INX",NA
"111","IRL",388698711348.156
"112","IRN",NA
"113","IRQ",234094042938.917
"114","ISL",24188035738.7846
"115","ISR",395098666121.616
"116","ITA",2001244392041.57
"117","JAM",16458071067.8176
"118","JOR",43743661971.831
"119","JPN",5081769542379.77
"120","KAZ",180161741180.147
"121","KEN",95503088538.092
"122","KGZ",8454619607.81795
"123","KHM",27089389786.9684
"124","KIR",194647201.946472
"125","KNA",1050992592.59259
"126","KOR",1642383217167.26
"127","KWT",134761198945.982
"128","LAC",5136327518155.87
"129","LAO",18173839128.2699
"130","LBN",53367042272.1725
"131","LBR",3070518100
"132","LBY",52076250947.5792
"133","LCA",2122450629.62963
"134","LCN",5719252824663.02
"135","LDC",1105397168763.63
"136","LIC",521273843020.466
"137","LIE",NA
"138","LKA",84008783756.068
