"","country.code","region","component","stimulus"
"1","AFG","ASIA","Health sector spending",19362969.58
"2","AGO","MAF","Health sector spending",4e+07
"3","ALB","OECD+","Health sector spending",32410658.48
"4","ARE","MAF","Health sector spending",0
"5","ARG","LAM","Health sector spending",1e+06
"6","ARM","REF","Health sector spending",0
"7","AUS","OECD+","Health sector spending",3e+06
"8","AUT","OECD+","Health sector spending",4347826087
"9","AZE","REF","Health sector spending",4882305.08
"10","BDI","MAF","Health sector spending",0
"11","BEL","OECD+","Health sector spending",0
"12","BEN","MAF","Health sector spending",108021212.7
"13","BFA","MAF","Health sector spending",0
"14","BGD","ASIA","Health sector spending",0
"15","BGR","OECD+","Health sector spending",0
"16","BHR","MAF","Health sector spending",470744680.9
"17","BHS","LAM","Health sector spending",4e+06
"18","BIH","OECD+","Health sector spending",30175280.22
"19","BLR","REF","Health sector spending",0
"20","BLZ","LAM","Health sector spending",0
"21","BOL","LAM","Health sector spending",2e+08
"22","BRA","LAM","Health sector spending",1.2e+07
"23","BRB","LAM","Health sector spending",0
"24","BRN","ASIA","Health sector spending",0
"25","BTN","ASIA","Health sector spending",43395924
"26","BWA","MAF","Health sector spending",46568741.59
"27","CAF","MAF","Health sector spending",0
"28","CAN","OECD+","Health sector spending",3e+06
"29","CHE","OECD+","Health sector spending",0
"30","CHL","LAM","Health sector spending",0
"31","CHN","ASIA","Health sector spending",2.2e+07
"32","CIV","MAF","Health sector spending",129021143.5
"33","CMR","MAF","Health sector spending",105089304
"34","COD","MAF","Health sector spending",0
"35","COG","MAF","Health sector spending",0
"36","COL","LAM","Health sector spending",0
"37","COM","MAF","Health sector spending",0
"38","CPV","MAF","Health sector spending",0
"39","CRI","LAM","Health sector spending",5372873.05
"40","CUB","LAM","Health sector spending",0
"41","CYP","OECD+","Health sector spending",108695652.2
"42","CZE","OECD+","Health sector spending",0
"43","DEU","OECD+","Health sector spending",2.5e+07
"44","DJI","MAF","Health sector spending",0
"45","DNK","OECD+","Health sector spending",0
"46","DOM","LAM","Health sector spending",0
"47","DZA","MAF","Health sector spending",249584472.6
"48","ECU","LAM","Health sector spending",0
"49","EGY","MAF","Health sector spending",450265.62
"50","ERI","MAF","Health sector spending",0
"51","ESP","OECD+","Health sector spending",4615217391
