"","region","Economy","General","Health","Individuals","country"
"1","ASIA",0,0.07745187833,0.01936296958,0,"Afghanistan"
"2","MAF",0,0,0.04,0,"Angola"
"3","OECD+",0.3657774313,0.0246819353,0.03241065848,0,"Albania"
"4","MAF",0,7.215793057,0,0,"United Arab Emirates"
"5","LAM",0,25.473704471,0,0,"Argentina"
"6","REF",0,0.1379,0,0,"Armenia"
"7","OECD+",0,74.653099549,0,96.07159135,"Australia"
"8","OECD+",10.879347825696,33.685869565,4.347826087,0,"Austria"
"9","REF",1.94115744,0,0.004882305075,0,"Azerbaijan"
"10","MAF",0,0.05266022727,0,0.0263,"Burundi"
"11","OECD+",56.52173913,10.869565217,0,4.673913043,"Belgium"
"12","MAF",0.07201414177,0,0.1080212127,0.09001767721,"Benin"
"13","MAF",0,0,0,0,"Burkina Faso"
"14","ASIA",6.8291115071,0,0,0.4480855621,"Bangladesh"
"15","OECD+",0,1.367791973,0,0,"Bulgaria"
"16","MAF",0,1.099967926,0.4707446809,0.01462765957,"Bahrain"
"17","LAM",0.05,0.008747,0.004,0.0118,"Bahamas"
"18","OECD+",0.3017528022,1.325057359,0.03017528022,0,"Bosnia & Herzegovina"
"19","REF",0,0,0,0,"Belarus"
"20","LAM",0,0.01871203164,0,0,"Belize"
"21","LAM",0.219,0,0.2,0.087,"Bolivia"
"22","LAM",0,205.549,0,0,"Brazil"
"23","LAM",0,0,0,0,"Barbados"
"24","ASIA",0,0,0,0,"Brunei"
"25","ASIA",0,0,0.043395924,0,"Bhutan"
"26","MAF",0.09803945598,0.06016801037,0.04656874159,0,"Botswana"
"27","MAF",0,0.04217799934,0,0,"Central African Republic"
"28","OECD+",65.595635123,9.706249428,3.086853418,89.518749109,"Canada"
"29","OECD+",50.108226952,24.542805038,0,0,"Switzerland"
"30","LAM",3,23.75,0,2.4,"Chile"
"31","ASIA",0,634.829,0,0,"China"
"32","MAF",0.7741268608,0.1290211435,0.1290211435,0,"Côte d’Ivoire"
"33","MAF",0.04498685957,0,0.105089304,0,"Cameroon"
"34","MAF",0,0.1416826059,0,0,"Congo - Kinshasa"
"35","MAF",0,0.1802189231,0,0,"Congo - Brazzaville"
"36","LAM",0,9.269317122,0,0,"Colombia"
"37","MAF",0,0,0,0,"Comoros"
"38","MAF",0.03211524529,0,0,0.02355117988,"Cape Verde"
"39","LAM",0,0,0.005372873046,0.292474944,"Costa Rica"
"40","LAM",0,0,0,0,"Cuba"
"41","OECD+",0.001630434783,1.109593913,0.1086956522,0,"Cyprus"
"42","OECD+",36.195652174,10.217391304,0,0,"Czechia"
"43","OECD+",902.174,256.522,0,106.522,"Germany"
"44","MAF",0,0,0,0,"Djibouti"
"45","OECD+",10.670259873,27.38700034,0,0,"Denmark"
"46","LAM",0,0.576,0,0,"Dominican Republic"
"47","MAF",0.17153572,0,0.2495844726,0.09863303899,"Algeria"
"48","LAM",0.05,0,0,0.114,"Ecuador"
"49","MAF",0.002814160112,0.002363894494,0.0004502656179,0,"Egypt"
"50","MAF",0,0,0,0,"Eritrea"
"51","OECD+",20.654347826,-6.191956522,4.615217391,20.052826087,"Spain"
"52","OECD+",1.9021739133,0.1445652174,0.2315217391,0.2717391304,"Estonia"
"53","MAF",0,0.293,0.43,0.917,"Ethiopia"
"54","EU",0.4626003072,365.842,260.87,0,NA
"55","OECD+",7.4239130441,1.304347826,1.086956522,4.402173913,"Finland"
"56","OECD+",0,0.4790688953,0,0,"Fiji"
"57","OECD+",342.391,266.304,0,0,"France"
"58","MAF",0,0.678,0,0,"Gabon"
"59","OECD+",40.025000135,0,19.612250066,32.020000108,"United Kingdom"
"60","REF",0.9529969914,0.07063621592,0.2065813354,0.3078002705,"Georgia"
"61","MAF",0,0.31,0,0,"Ghana"
"62","MAF",0,0.0335,0,0,"Gambia"
"63","MAF",0,0,8e-04,9e-04,"Guinea-Bissau"
"64","MAF",0,0,0.01611885246,0,"Equatorial Guinea"
"65","OECD+",2.173913043,23.913043478,0,0,"Greece"
"66","LAM",0,2.667655229,0,0,"Guatemala"
"67","OECD+",0,0,0,0,"Guam"
"68","LAM",0,0,0,0,"Guyana"
"69","ASIA",23.792817503,0,3.827262869,9.057855457,"Hong Kong SAR China"
"70","LAM",0,1.893621344,0.2157290139,0.2876386852,"Honduras"
"71","OECD+",0,0,0,0,"Croatia"
"72","LAM",0,0.07726976935,0.03863488468,0.01931744234,"Haiti"
"73","OECD+",8.571685161,0,0.9472974767,0,"Hungary"
"74","ASIA",10.535972823,37.030432482,0,0,"Indonesia"
"75","ASIA",184.873912394,89.718163631,2.718732231,43.4997157,"India"
"76","OECD+",5,7.456521739,2,0,"Ireland"
"77","MAF",48.152,0,9.26,2.778,"Iran"
"78","MAF",0,0.025,0,0,"Iraq"
"79","OECD+",0,2.123726921,0,0,"Iceland"
"80","MAF",11.41883756,6.12718113,3.063590565,5.570164663,"Israel"
"81","OECD+",464.673826087,23.043478261,7.065217391,26.956521739,"Italy"
"82","LAM",0,0.172852997,0,0,"Jamaica"
"83","MAF",0,0,0,0.2070422535,"Jordan"
"84","OECD+",795.412,1267.69,0,24.856615399,"Japan"
"85","REF",0,9.863482631,0,0,"Kazakhstan"
"86","MAF",0,0.9249609483,0,0,"Kenya"
"87","REF",0.015,0.54,0.016,0,"Kyrgyzstan"
"88","ASIA",0,0,0.06,0,"Cambodia"
"89","ASIA",0,20.263516583,0,0,"South Korea"
"90","MAF",0,1.6,0,0,"Kuwait"
"91","ASIA",0,0.006360993514,0,0,"Laos"
"92","MAF",0,1.094527363,0,0,"Lebanon"
"93","MAF",0,0,0,0,"Liberia"
"94","MAF",0,0.3663093116,0,0,"Libya"
"95","ASIA",0,40.005346886,0,0,"Sri Lanka"
"96","MAF",0.03398557664,0.02643322628,0.02643322628,0.05664262773,"Lesotho"
"97","OECD+",4.891304348,4.843913043,0.5434782609,1.460434783,"Lithuania"
"98","OECD+",9.6195652171,0.02608695652,0.2108695652,1.447826087,"Luxembourg"
"99","OECD+",1.12,0.8560869565,0.0152173913,0.008695652174,"Latvia"
