"","country.code","region","Economy","General","Health","Individuals"
"1","AFG","ASIA",0,0.07745187833,0.01936296958,0
"2","AGO","MAF",0,0,0.04,0
"3","ALB","OECD+",0.3657774313,0.0246819353,0.03241065848,0
"4","ARE","MAF",0,7.215793057,0,0
"5","ARG","LAM",0,25.473704471,0,0
"6","ARM","REF",0,0.1379,0,0
"7","AUS","OECD+",0,74.653099549,0,96.07159135
"8","AUT","OECD+",10.879347825696,33.685869565,4.347826087,0
"9","AZE","REF",1.94115744,0,0.004882305075,0
"10","BDI","MAF",0,0.05266022727,0,0.0263
"11","BEL","OECD+",56.52173913,10.869565217,0,4.673913043
"12","BEN","MAF",0.07201414177,0,0.1080212127,0.09001767721
"13","BFA","MAF",0,0,0,0
"14","BGD","ASIA",6.8291115071,0,0,0.4480855621
"15","BGR","OECD+",0,1.367791973,0,0
"16","BHR","MAF",0,1.099967926,0.4707446809,0.01462765957
"17","BHS","LAM",0.05,0.008747,0.004,0.0118
"18","BIH","OECD+",0.3017528022,1.325057359,0.03017528022,0
"19","BLR","REF",0,0,0,0
"20","BLZ","LAM",0,0.01871203164,0,0
"21","BOL","LAM",0.219,0,0.2,0.087
"22","BRA","LAM",0,205.549,0,0
"23","BRB","LAM",0,0,0,0
"24","BRN","ASIA",0,0,0,0
"25","BTN","ASIA",0,0,0.043395924,0
"26","BWA","MAF",0.09803945598,0.06016801037,0.04656874159,0
"27","CAF","MAF",0,0.04217799934,0,0
"28","CAN","OECD+",65.595635123,9.706249428,3.086853418,89.518749109
"29","CHE","OECD+",50.108226952,24.542805038,0,0
"30","CHL","LAM",3,23.75,0,2.4
"31","CHN","ASIA",0,634.829,0,0
"32","CIV","MAF",0.7741268608,0.1290211435,0.1290211435,0
"33","CMR","MAF",0.04498685957,0,0.105089304,0
"34","COD","MAF",0,0.1416826059,0,0
"35","COG","MAF",0,0.1802189231,0,0
"36","COL","LAM",0,9.269317122,0,0
"37","COM","MAF",0,0,0,0
"38","CPV","MAF",0.03211524529,0,0,0.02355117988
"39","CRI","LAM",0,0,0.005372873046,0.292474944
"40","CUB","LAM",0,0,0,0
"41","CYP","OECD+",0.001630434783,1.109593913,0.1086956522,0
"42","CZE","OECD+",36.195652174,10.217391304,0,0
"43","DEU","OECD+",902.174,256.522,0,106.522
"44","DJI","MAF",0,0,0,0
"45","DNK","OECD+",10.670259873,27.38700034,0,0
"46","DOM","LAM",0,0.576,0,0
"47","DZA","MAF",0.17153572,0,0.2495844726,0.09863303899
"48","ECU","LAM",0.05,0,0,0.114
"49","EGY","MAF",0.002814160112,0.002363894494,0.0004502656179,0
"50","ERI","MAF",0,0,0,0
"51","ESP","OECD+",20.654347826,-6.191956522,4.615217391,20.052826087
"52","EST","OECD+",1.9021739133,0.1445652174,0.2315217391,0.2717391304
"53","ETH","MAF",0,0.293,0.43,0.917
"54","EU","EU",0.4626003072,365.842,260.87,0
"55","FIN","OECD+",7.4239130441,1.304347826,1.086956522,4.402173913
"56","FJI","OECD+",0,0.4790688953,0,0
"57","FRA","OECD+",342.391,266.304,0,0
"58","GAB","MAF",0,0.678,0,0
"59","GBR","OECD+",40.025000135,0,19.612250066,32.020000108
"60","GEO","REF",0.9529969914,0.07063621592,0.2065813354,0.3078002705
"61","GHA","MAF",0,0.31,0,0
"62","GMB","MAF",0,0.0335,0,0
"63","GNB","MAF",0,0,8e-04,9e-04
"64","GNQ","MAF",0,0,0.01611885246,0
"65","GRC","OECD+",2.173913043,23.913043478,0,0
"66","GTM","LAM",0,2.667655229,0,0
"67","GUM","OECD+",0,0,0,0
"68","GUY","LAM",0,0,0,0
"69","HKG","ASIA",23.792817503,0,3.827262869,9.057855457
"70","HND","LAM",0,1.893621344,0.2157290139,0.2876386852
"71","HRV","OECD+",0,0,0,0
"72","HTI","LAM",0,0.07726976935,0.03863488468,0.01931744234
"73","HUN","OECD+",8.571685161,0,0.9472974767,0
"74","IDN","ASIA",10.535972823,37.030432482,0,0
"75","IND","ASIA",184.873912394,89.718163631,2.718732231,43.4997157
"76","IRL","OECD+",5,7.456521739,2,0
"77","IRN","MAF",48.152,0,9.26,2.778
"78","IRQ","MAF",0,0.025,0,0
"79","ISL","OECD+",0,2.123726921,0,0
"80","ISR","MAF",11.41883756,6.12718113,3.063590565,5.570164663
"81","ITA","OECD+",464.673826087,23.043478261,7.065217391,26.956521739
"82","JAM","LAM",0,0.172852997,0,0
"83","JOR","MAF",0,0,0,0.2070422535
"84","JPN","OECD+",795.412,1267.69,0,24.856615399
"85","KAZ","REF",0,9.863482631,0,0
"86","KEN","MAF",0,0.9249609483,0,0
"87","KGZ","REF",0.015,0.54,0.016,0
"88","KHM","ASIA",0,0,0.06,0
"89","KOR","ASIA",0,20.263516583,0,0
"90","KWT","MAF",0,1.6,0,0
"91","LAO","ASIA",0,0.006360993514,0,0
"92","LBN","MAF",0,1.094527363,0,0
"93","LBR","MAF",0,0,0,0
"94","LBY","MAF",0,0.3663093116,0,0
"95","LKA","ASIA",0,40.005346886,0,0
"96","LSO","MAF",0.03398557664,0.02643322628,0.02643322628,0.05664262773
"97","LTU","OECD+",4.891304348,4.843913043,0.5434782609,1.460434783
"98","LUX","OECD+",9.6195652171,0.02608695652,0.2108695652,1.447826087
"99","LVA","OECD+",1.12,0.8560869565,0.0152173913,0.008695652174
"100","MAC","ASIA",0,6.665170146,0,0
"101","MAR","MAF",0,3.183877649,0,0
"102","MDA","REF",0,0,0,0
"103","MDG","MAF",0,0.16,0,0
"104","MDV","ASIA",0,0.2274080311,0,0
"105","MEX","LAM",1.29908315,8.054315533,0,0
"106","MKD","OECD+",0,0.02534426211,0,0
"107","MLI","MAF",0,0.08581716416,0,0
"108","MLT","OECD+",0.2173913043,1.1875,0.1470652174,0
"109","MMR","ASIA",0.06993946162,0,0.0002098183848,0.02657699541
"110","MNE","OECD+",0,0.2100283363,0,0
"111","MNG","ASIA",0,0,0.006875676303,0.2613349828
"112","MOZ","MAF",0,0,0.03315308683,0
"113","MRT","MAF",0,0.29,0,0
"114","MUS","MAF",0.123768029278,0,0.03830915191,0.2035984081
"115","MWI","MAF",0.05,0,0.02,0
"116","MYS","ASIA",0,15.518706429,0,0
"117","NAM","MAF",0.1737955371,0.2644714695,0.1662392094,0
"118","NCL","OECD+",0,0,0,0
"119","NER","MAF",0,0,0,0
"120","NGA","MAF",0,1.4,0.0372,0
"121","NIC","LAM",0,0,0,0
"122","NLD","OECD+",68.043478261,29.130434783,0,0
"123","NOR","OECD+",0,19.674146941,0,0
"124","NPL","ASIA",0,0,0,0
"125","NZL","OECD+",21.103493609,0,0.3459589116,3.805548028
"126","OMN","MAF",0,0,0,0
"127","PAK","ASIA",0.8208558532,7.059360338,0.123128378,1.84692567
"128","PAN","LAM",0.191,1.1023,0,0.0067
"129","PER","LAM",0.09127966705,0,0.3346921125,3.042655568
"130","PHL","ASIA",2.278707587,4.025716738,1.112768872,3.892792128
"131","PNG","ASIA",0,1.707818675,0,0
"132","POL","OECD+",41.766109786,24.821002387,0,0
"133","PRI","LAM",0,0,0,0
"134","PRT","OECD+",10.760869565,0,0,0
"135","PRY","LAM",0.045,0,0.5,0.4
"136","PYF","OECD+",0,0,0,0
"137","QAT","MAF",0,20.604395604,0,0
"138","ROU","OECD+",3.805545102,4.578792984,0,0
"139","RUS","REF",0,48.069084767,0,0
"140","RWA","MAF",0,0.3137876147,0,0
"141","SAU","MAF",19.686666667,15.94,12.533333333,0
"142","SDN","MAF",0,3.029858011,1.236100821,1.033043689
"143","SEN","MAF",0.1259632068,1.236144266,0.1416186339,0.1853458614
"144","SGP","ASIA",40.99814038,23.056820358,0.5931014883,4.225848104
"145","SLB","OECD+",0,0.04011314744,0,0
"146","SLE","MAF",0,0.0075,0,0
"147","SLV","LAM",0,0,0,0
"148","SOM","MAF",0,0,0,0
"149","SRB","OECD+",4.8115761335,0,0.3893184008,0.6488640013
"150","SUR","LAM",0,0.0402009447,0.05427127534,0.0536012596
"151","SVK","OECD+",0,2.032608696,0,0
"152","SVN","OECD+",0.652173913,6.902173913,0,0.05434782609
"153","SWE","OECD+",51.998739912,15.990762938,0,0
"154","SWZ","MAF",0,0.007552350364,0,0
"155","SYR","MAF",0,0,0,0
"156","TCD","MAF",0,0,0.05578370587,0.1352773829
"157","TGO","MAF",0,0,0.187,0.0227
"158","THA","ASIA",12.379981594,46.424930978,18.569972391,0
"159","TJK","REF",0,0,0,0
"160","TKM","REF",4.646770286,0,0.8152228571,0.1222834286
"161","TLS","ASIA",0,0,0,0
"162","TTO","LAM",0,0,0,0
"163","TUN","MAF",0,0.2682416946,0,0
"164","TUR","OECD+",5.177730629,47.013794113,0,0
"165","TZA","MAF",0.376,0.0084,0.0032,0
"166","UGA","MAF",0,0.3693,0,0
"167","UKR","REF",0,0,0.5808718389,8.444700088
"168","URY","LAM",0,0.4,0,0.4
"169","USA","OECD+",1239,636.3,200,716
"170","UZB","REF",0,0,0,0
"171","VEN","LAM",0,0,0,0
"172","VNM","ASIA",7.963879383,2.433407589,0,1.592775877
"173","WSM","OECD+",0,0.02562536767,0,0
"174","ZAF","MAF",0.006800702739,0,0.007556336376,0
"175","ZMB","MAF",0,0.2524348676,0,0
"176","ZWE","MAF",0,0.002,0,0
