"","country.code","region","total.stim.usd","individuals.households","health","business","deferrals","loans.guarantees","uncategorized.other"
"1","ALB","OECD90+EU","422,870,025.15",NA,32410658.48,125012539.8,NA,240764891.5,24681935.3
"2","BGD","ASIA","7,277,197,069.62",448085562.1,NA,599044869.1,NA,6230066638,0
"3","BEL","OECD90+EU","72,065,217,391.30",4673913043,NA,NA,NA,56521739130,10869565217
"4","BGR","OECD90+EU","1,367,791,973.45",NA,NA,NA,NA,NA,1367791973
"5","CHL","LAM","29,150,000,000.00",2.4e+09,NA,NA,NA,3e+09,2.375e+10
"6","COL","LAM","9,269,317,122.46",NA,NA,NA,NA,NA,9269317122
"7","CZE","OECD90+EU","46,413,043,478.26",NA,NA,NA,NA,36195652174,10217391304
"8","DNK","OECD90+EU","38,057,260,212.20",NA,NA,NA,NA,10670259873,27387000339.62
"9","EGY","MAF","5,628,320.22",NA,450265.62,2814160.11,NA,NA,2363894.49
"10","ETH","MAF","1,640,000,000.00",9.17e+08,4.3e+08,NA,NA,NA,2.93e+08
"11","FIN","OECD90+EU","14,217,391,304.35",4402173913,1086956522,706521739.1,4891304348,1826086957,1304347826
"12","GEO","REF","1,538,014,813.22",307800270.5,206581335.4,197307865.7,353181079.6,402508046.1,70636215.92
"13","GHA","MAF","310,000,000.00",NA,NA,NA,NA,NA,3.1e+08
"14","GNB","MAF","1,700,000.00",9e+05,8e+05,NA,NA,NA,0
"15","HND","LAM","2,396,989,043.08",287638685.2,215729013.9,NA,NA,NA,1893621344
"16","KAZ","REF","9,863,482,631.33",NA,NA,NA,NA,NA,9863482631.33
"17","KEN","MAF","924,960,948.33",NA,NA,NA,NA,NA,924960948.33
"18","MUS","MAF","365,675,589.26",203598408.1,38309151.91,117874313.6,NA,5893715.68,0
"19","NLD","OECD90+EU","97,173,913,043.48",NA,NA,NA,34782608696,33260869565,29130434783
"20","NZL","OECD90+EU","25,255,000,547.77",3805548028,345958911.6,14737849635,2144945252,4220698722,0
"21","NGA","MAF","1,437,200,000.00",NA,37200000,NA,NA,NA,1.4e+09
"22","NOR","OECD90+EU","19,674,146,941.29",NA,NA,NA,NA,NA,19674146941.29
"23","PAK","ASIA","9,850,270,238.67",1846925670,123128378,820855853.2,NA,NA,7059360338
"24","PER","LAM","3,468,627,347.88",3042655568,334692112.5,91279667.05,NA,NA,0
"25","PHL","ASIA","11,309,985,325.51",3892792128,1112768872,2278707587,NA,NA,4025716737.76
"26","POL","OECD90+EU","66,587,112,171.84",NA,NA,23866348449,NA,17899761337,24821002386.63
"27","ROU","OECD90+EU","8,384,338,086.06",NA,NA,NA,NA,3805545102,4578792984
"28","SEN","MAF","1,689,071,968.63",185345861.4,141618633.9,125963206.8,NA,NA,1236144266.44
"29","SGP","ASIA","68,873,910,330.47",4225848104,593101488.3,26170603172,NA,14827537208,23056820358.21
"30","SWE","OECD90+EU","67,989,502,850.25",NA,NA,19557048197,5406948619,27034743096,15990762938
"31","CHE","OECD90+EU","74,651,031,990.86",NA,NA,9203551889,NA,40904675063,24542805038.09
"32","THA","ASIA","77,374,884,962.86",NA,18569972391,12379981594,NA,NA,46424930978
"33","TUN","MAF","268,241,694.58",NA,NA,NA,NA,NA,268241694.58
"34","ARE","MAF","7,215,793,056.50",NA,NA,NA,NA,NA,7215793056.5
"35","VNM","ASIA","11,990,062,848.28",1592775877,NA,NA,7963879383,NA,2433407589.13
