"","country.code","region","gdp","component","stimulus","check"
"1","AFG","ASIA",19362969582.3643,"Health.sector.spending",19362969.58,0.999999999877896
"2","AGO","MAF",105750987618.63,"Health.sector.spending",4e+07,0.378247058497951
"3","ALB","OECD+",15102500898.238,"Health.sector.spending",32410658.48,2.146045790587
"4","ARE","MAF",414178942592.479,"Health.sector.spending",0,0
"5","ARG","LAM",519871519807.795,"Health.sector.spending",1e+06,0.00192355218914419
"6","ARM","REF",12433089919.0459,"Health.sector.spending",0,0
"7","AUS","OECD+",1433904348500.12,"Health.sector.spending",3e+06,0.00209218976366034
"8","AUT","OECD+",455285818035.125,"Health.sector.spending",4347826087,9.54966290354462
"9","AZE","REF",46939529411.7647,"Health.sector.spending",4882305.08,0.104012655030502
"10","BDI","MAF",3036931818.18182,"Health.sector.spending",0,0
"11","BEL","OECD+",542761092103.469,"Health.sector.spending",0,0
"12","BEN","MAF",10354274634.9108,"Health.sector.spending",108021212.7,10.4325234271643
"13","BFA","MAF",14124775068.569,"Health.sector.spending",0,0
"14","BGD","ASIA",274024958965.892,"Health.sector.spending",0,0
"15","BGR","OECD+",65132951116.4756,"Health.sector.spending",0,0
"16","BHR","MAF",37746196808.5106,"Health.sector.spending",470744680.9,12.471314217115
"17","BHS","LAM",12424500000,"Health.sector.spending",4e+06,0.321944545052115
"18","BIH","OECD+",20161865419.4327,"Health.sector.spending",30175280.22,1.49665120722986
"19","BLR","REF",59662495092.2654,"Health.sector.spending",0,0
"20","BLZ","LAM",1871203164.08274,"Health.sector.spending",0,0
"21","BOL","LAM",40287647756.8741,"Health.sector.spending",2e+08,4.96430075061592
"22","BRA","LAM",1868626087908.48,"Health.sector.spending",1.2e+07,0.00642183049763122
"23","BRB","LAM",5.145e+09,"Health.sector.spending",0,0
"24","BRN","ASIA",13567351175.0315,"Health.sector.spending",0,0
"25","BTN","ASIA",2446674101.3737,"Health.sector.spending",43395924,17.736699781812
"26","BWA","MAF",18616018903.4434,"Health.sector.spending",46568741.59,2.50154137850527
"27","CAF","MAF",2219894701.95124,"Health.sector.spending",0,0
"28","CAN","OECD+",1713341704877.01,"Health.sector.spending",3e+06,0.00175096420723346
"29","CHE","OECD+",705140354166.312,"Health.sector.spending",0,0
"30","CHL","LAM",298231133532.749,"Health.sector.spending",0,0
"31","CHN","ASIA",13608151864637.9,"Health.sector.spending",2.2e+07,0.0016166780190901
"32","CIV","MAF",43007047821.7541,"Health.sector.spending",129021143.5,3.00000000080772
"33","CMR","MAF",38675205293.0462,"Health.sector.spending",105089304,2.7172267917837
"34","COD","MAF",47227535290.9218,"Health.sector.spending",0,0
"35","COG","MAF",11263682694.0393,"Health.sector.spending",0,0
"36","COL","LAM",331047040087.878,"Health.sector.spending",0,0
"37","COM","MAF",1177955048.65299,"Health.sector.spending",0,0
"38","CPV","MAF",1976814276.50792,"Health.sector.spending",0,0
"39","CRI","LAM",60130106115.6294,"Health.sector.spending",5372873.05,0.0893541255301967
"40","CUB","LAM",1.00023e+11,"Health.sector.spending",0,0
"41","CYP","OECD+",24961988663.2026,"Health.sector.spending",108695652.2,4.35444682178837
"42","CZE","OECD+",245225882903.37,"Health.sector.spending",0,0
"43","DEU","OECD+",3947620162502.96,"Health.sector.spending",2.5e+07,0.00633292945391913
