"","region","component","stimulus","gdp","pct.gdp"
"1","ASIA","General spending",1170493978408.3,23214227036708.7,5.04214065175375
"2","ASIA","Health sector spending",41057107257.26,23214227036708.7,0.176861832152914
"3","ASIA","Liquidity support",425800006099.62,23214227036708.7,1.834220047156
"4","CHN","Health sector spending",2.2e+10,14342902842915.9,0.153385965455842
"5","CHN","General spending",8.41e+11,14342902842915.9,5.86352713401652
"6","CHN","Liquidity support",8e+10,14342902842915.9,0.557767147112154
"7","EU","Health sector spending",64667188780.8,1.55e+13,0.417207669553548
"8","EU","General spending",1387934846322.6,1.55e+13,8.95441836337161
"9","EU","Liquidity support",3180072084923.48,1.55e+13,20.5165940962805
"10","IND","Health sector spending",2e+09,2875142314811.85,0.0695617740275539
"11","IND","General spending",4.3e+10,2875142314811.85,1.49557814159241
"12","IND","Liquidity support",1.45e+11,2875142314811.85,5.04322861699765
"13","LAM","General spending",177871270302.83,5164291956056.51,3.44425280011964
"14","LAM","Health sector spending",19918008046.97,5164291956056.51,0.38568710321675
"15","LAM","Liquidity support",1.0852e+11,5164291956056.51,2.1013529235645
"16","MAF","General spending",130452497358.34,4783008172768.94,2.72741531367318
"17","MAF","Health sector spending",30971877026.5,4783008172768.94,0.647539705301611
"18","MAF","Liquidity support",51906202810.69,4783008172768.94,1.08522086803462
"19","North America","General spending",2.284e+12,23164125629520,9.86007430856492
"20","North America","Health sector spending",3.07e+11,23164125629520,1.32532522448749
"21","North America","Liquidity support",5.6e+11,23164125629520,2.41753135411399
"22","OECD-Europe","General spending",1524704585282.67,20409851547860.9,7.47043446987965
"23","OECD-Europe","Health sector spending",89231343190.3,20409851547860.9,0.437197414106875
"24","OECD-Europe","Liquidity support",3314984155385.18,20409851547860.9,16.2420787216975
"25","OECD-Oceania","General spending",901544807410.41,6689190175468.26,13.477637557932
"26","OECD-Oceania","Health sector spending",4.1e+10,6689190175468.26,0.612929202556719
"27","OECD-Oceania","Liquidity support",1.2e+12,6689190175468.26,17.939391294343
"28","REF","General spending",53846729019.32,2262811459478.38,2.37963833857075
"29","REF","Health sector spending",4623558336.48,2262811459478.38,0.20432804143328
"30","REF","Liquidity support",17195998332.1,2262811459478.38,0.759939510650347
"31","USA","Health sector spending",3.04e+11,2.14277e+13,1.41872436145737
"32","USA","General spending",2.139e+12,2.14277e+13,9.98240595117535
"33","USA","Liquidity support",5.1e+11,2.14277e+13,2.38009679060282
"34","World","General spending",6242913867781.87,85687505977861.7,7.28567577797724
"35","World","Health sector spending",533801893857.51,85687505977861.7,0.622963508817054
"36","World","Liquidity support",5678406362627.59,85687505977861.7,6.62687786022698
