"","CountryCode","stim.imf","stim.ox","total.ox","total.imf","diff"
"1","CAN",137.15,1.659,7222.67524620834,6887.84,334.835246208339
"2","FRA",459,758.044627528,7222.67524620834,6887.84,334.835246208339
"3","DEU",986.04,68.44294967271,7222.67524620834,6887.84,334.835246208339
"4","ITA",458.89,468.040843806,7222.67524620834,6887.84,334.835246208339
"5","JPN",1042.49,994.630263851,7222.67524620834,6887.84,334.835246208339
"6","GBR",61.63,500.94693573802,7222.67524620834,6887.84,334.835246208339
"7","USA",2303.3,2535.2,7222.67524620834,6887.84,334.835246208339
"8","EU",583.2,583,7222.67524620834,6887.84,334.835246208339
"9","ARG",18,10.54084382499,7222.67524620834,6887.84,334.835246208339
"10","AUS",144,130.855741481,7222.67524620834,6887.84,334.835246208339
"11","BRA",121,184.95083300027,7222.67524620834,6887.84,334.835246208339
"12","CHN",364,723.44,7222.67524620834,6887.84,334.835246208339
"13","IND",24,25.26016737607,7222.67524620834,6887.84,334.835246208339
"14","IDN",38.4,24.65,7222.67524620834,6887.84,334.835246208339
"15","MEX",9.2,0,7222.67524620834,6887.84,334.835246208339
"16","RUS",46,0,7222.67524620834,6887.84,334.835246208339
"17","SAU",47.79,35.4,7222.67524620834,6887.84,334.835246208339
"18","ZAF",0,12.668094577,7222.67524620834,6887.84,334.835246208339
"19","KOR",28.35,149.51223702078,7222.67524620834,6887.84,334.835246208339
"20","TUR",15.4,15.4327083325,7222.67524620834,6887.84,334.835246208339
